Feature,Importance
Product_ID_P00053342,11026.300834645865
Product_ID_P00320742,9724.95280274714
Product_ID_P00140542,9706.483064736007
Product_ID_P00231242,9526.780257263983
Product_ID_P00031842,9488.259524351952
Product_ID_P00286742,9422.042704840807
Product_ID_P00079742,9413.597298674858
Product_ID_P00049842,9330.318147205144
Product_ID_P00251642,9258.713326348525
Product_ID_P00017642,9252.181748188072
Product_ID_P00002242,9160.800589078075
Product_ID_P00066242,8936.609371041413
Product_ID_P00147742,8887.3400569217
Product_ID_P00233242,8598.659167171601
Product_ID_P00249742,8331.346791120377
Product_ID_P00225842,7740.242795385302
Product_ID_P00007042,7596.736325739566
Product_ID_P00260342,7429.647187547609
Product_ID_P00037142,7111.319390258944
Product_ID_P00037042,7074.673679363872
Product_ID_P00199642,6987.976484407992
Product_ID_P00184942,6953.525036157122
Product_ID_P00085942,6948.755878362211
Product_ID_P00274442,6735.261296279733
Product_ID_P00351142,6652.39649678764
Product_ID_P00208742,6559.282457286385
Product_ID_P00110742,6425.875889461474
Product_ID_P00186342,6414.33420297433
Product_ID_P00237242,6294.685832529633
Product_ID_P00303442,6272.173451426585
Product_ID_P00113342,6218.956200478801
Product_ID_P00330842,6186.394989887087
Product_ID_P00215242,6183.583558198202
Product_ID_P00368042,6024.175403017238
Product_ID_P00221442,6000.813369426652
Product_ID_P00196342,5984.079294283553
Product_ID_P00187842,5927.515435119856
Product_ID_P00116342,5858.002071038161
Product_ID_P00019342,5818.804656692596
Product_ID_P00274042,5645.053804361447
Product_ID_P00127842,5549.534768592512
Product_ID_P00111642,5518.872935800069
Product_ID_P00109742,5503.84419624729
Product_ID_P00119642,5464.499078360123
Product_ID_P0097042,5449.800605923288
Product_ID_P00118342,5409.522462226076
Product_ID_P00044242,5395.098959197947
Product_ID_P00200642,5319.796383971214
Product_ID_P00132842,5308.458246008911
Product_ID_P00310842,5256.469656373676
Product_ID_P00289842,5253.939332336358
Product_ID_P00286342,5208.798333593609
Product_ID_P00291042,5173.4510463852375
