Feature,Importance
Age_Category_55+,0.0
User_ID,0.0
Occupation,0.0
Marital_Status,0.0
Product_Category,0.0
Gender_Code,0.0
City_Code,0.0
Stay_Years,0.0
Total_User_Purchase,0.0
Purchase_Count,0.0
Avg_User_Purchase,0.0
Avg_Category_Purchase,0.0
Product_ID_P00000142,0.0
Product_ID_P00000242,0.0
Product_ID_P00000342,0.0
Product_ID_P00000442,0.0
Product_ID_P00000542,0.0
Product_ID_P00000642,0.0
Product_ID_P0098342,0.0
Product_ID_P0098442,0.0
Product_ID_P0098542,0.0
Product_ID_P0098642,0.0
Product_ID_P0098742,0.0
Product_ID_P0098842,0.0
Product_ID_P0098942,0.0
Product_ID_P0099042,0.0
Product_ID_P0097542,0.0
Product_ID_P0097642,0.0
Product_ID_P0097742,0.0
Product_ID_P0097842,0.0
Product_ID_P0097942,0.0
Product_ID_P0098042,0.0
Product_ID_P0098142,0.0
Product_ID_P0098242,0.0
Product_ID_P0096742,0.0
Product_ID_P0096842,0.0
Product_ID_P0096942,0.0
Product_ID_P0097042,0.0
Product_ID_P0097142,0.0
Product_ID_P0097242,0.0
Product_ID_P0097342,0.0
Product_ID_P0097442,0.0
Product_ID_P0095942,0.0
Product_ID_P0096042,0.0
Product_ID_P0096142,0.0
Product_ID_P0096242,0.0
Product_ID_P0096342,0.0
Product_ID_P0096442,0.0
Product_ID_P0096542,0.0
Product_ID_P0096642,0.0
Product_ID_P00006442,0.0
Product_ID_P00006542,0.0
Product_ID_P00006642,0.0
Product_ID_P00006742,0.0
Product_ID_P00006842,0.0
Product_ID_P00006942,0.0
Product_ID_P00007042,0.0
Product_ID_P00007142,0.0
Product_ID_P00005642,0.0
Product_ID_P00005742,0.0
Product_ID_P00005842,0.0
Product_ID_P00005942,0.0
Product_ID_P00006042,0.0
Product_ID_P00006142,0.0
Product_ID_P00006242,0.0
Product_ID_P00006342,0.0
Product_ID_P00004842,0.0
Product_ID_P00004942,0.0
Product_ID_P00005042,0.0
Product_ID_P00005142,0.0
Product_ID_P00005242,0.0
Product_ID_P00005342,0.0
Product_ID_P00005442,0.0
Product_ID_P00005542,0.0
Product_ID_P00004042,0.0
Product_ID_P00004142,0.0
Product_ID_P00004242,0.0
Product_ID_P00004342,0.0
Product_ID_P00004442,0.0
Product_ID_P00004542,0.0
Product_ID_P00004642,0.0
Product_ID_P00004742,0.0
Product_ID_P00009642,0.0
Product_ID_P00009742,0.0
Product_ID_P00010042,0.0
Product_ID_P00010142,0.0
Product_ID_P00010242,0.0
Product_ID_P00010342,0.0
Product_ID_P00010442,0.0
Product_ID_P00010542,0.0
Product_ID_P00008842,0.0
Product_ID_P00008942,0.0
Product_ID_P00009042,0.0
Product_ID_P00009142,0.0
Product_ID_P00009242,0.0
Product_ID_P00009342,0.0
Product_ID_P00009442,0.0
Product_ID_P00009542,0.0
Product_ID_P00008042,0.0
Product_ID_P00008142,0.0
Product_ID_P00008242,0.0
Product_ID_P00008342,0.0
Product_ID_P00008442,0.0
Product_ID_P00008542,0.0
Product_ID_P00008642,0.0
Product_ID_P00008742,0.0
Product_ID_P00007242,0.0
Product_ID_P00007342,0.0
Product_ID_P00007442,0.0
Product_ID_P00007542,0.0
Product_ID_P00007642,0.0
Product_ID_P00007742,0.0
Product_ID_P00007842,0.0
Product_ID_P00007942,0.0
Product_ID_P00013242,0.0
Product_ID_P00013342,0.0
Product_ID_P00013442,0.0
Product_ID_P00013542,0.0
Product_ID_P00013642,0.0
Product_ID_P00013742,0.0
Product_ID_P00013842,0.0
Product_ID_P00013942,0.0
Product_ID_P00012242,0.0
Product_ID_P00012342,0.0
Product_ID_P00012442,0.0
Product_ID_P00012542,0.0
Product_ID_P00012742,0.0
Product_ID_P00012842,0.0
Product_ID_P00012942,0.0
Product_ID_P00013142,0.0
Product_ID_P00011442,0.0
Product_ID_P00011542,0.0
Product_ID_P00011642,0.0
Product_ID_P00011742,0.0
Product_ID_P00011842,0.0
Product_ID_P00011942,0.0
Product_ID_P00012042,0.0
Product_ID_P00012142,0.0
Product_ID_P00010642,0.0
Product_ID_P00010742,0.0
Product_ID_P00010842,0.0
Product_ID_P00010942,0.0
Product_ID_P00011042,0.0
Product_ID_P00011142,0.0
Product_ID_P00011242,0.0
Product_ID_P00011342,0.0
Product_ID_P00016442,0.0
Product_ID_P00016542,0.0
Product_ID_P00016642,0.0
Product_ID_P00016742,0.0
Product_ID_P00016842,0.0
Product_ID_P00016942,0.0
Product_ID_P00017042,0.0
Product_ID_P00017142,0.0
Product_ID_P00015642,0.0
Product_ID_P00015742,0.0
Product_ID_P00015842,0.0
Product_ID_P00015942,0.0
Product_ID_P00016042,0.0
Product_ID_P00016142,0.0
Product_ID_P00016242,0.0
Product_ID_P00016342,0.0
Product_ID_P00014842,0.0
Product_ID_P00014942,0.0
Product_ID_P00015042,0.0
Product_ID_P00015142,0.0
Product_ID_P00015242,0.0
Product_ID_P00015342,0.0
Product_ID_P00015442,0.0
Product_ID_P00015542,0.0
Product_ID_P00014042,0.0
Product_ID_P00014142,0.0
Product_ID_P00014242,0.0
Product_ID_P00014342,0.0
Product_ID_P00014442,0.0
Product_ID_P00014542,0.0
Product_ID_P00014642,0.0
Product_ID_P00014742,0.0
Product_ID_P00019642,0.0
Product_ID_P00019742,0.0
Product_ID_P00019842,0.0
Product_ID_P00019942,0.0
Product_ID_P00020042,0.0
Product_ID_P00020142,0.0
Product_ID_P00020242,0.0
Product_ID_P00020342,0.0
Product_ID_P00018842,0.0
Product_ID_P00018942,0.0
Product_ID_P00019042,0.0
Product_ID_P00019142,0.0
Product_ID_P00019242,0.0
Product_ID_P00019342,0.0
Product_ID_P00019442,0.0
Product_ID_P00019542,0.0
Product_ID_P00018042,0.0
Product_ID_P00018142,0.0
Product_ID_P00018242,0.0
Product_ID_P00018342,0.0
Product_ID_P00018442,0.0
Product_ID_P00018542,0.0
Product_ID_P00018642,0.0
Product_ID_P00018742,0.0
Product_ID_P00017242,0.0
Product_ID_P00017342,0.0
Product_ID_P00017442,0.0
Product_ID_P00017542,0.0
Product_ID_P00017642,0.0
Product_ID_P00017742,0.0
Product_ID_P00017842,0.0
Product_ID_P00017942,0.0
