user_id,venue_id,checkin_count,tip_count,avg_sentiment,checkin_category,interaction_score
6,278,2,0.0,0.0,occasional,2.0
15,910,1,0.0,0.0,one_time,1.0
15,1070,1,0.0,0.0,one_time,1.0
15,1254,2,0.0,0.0,occasional,2.0
15,1329,1,0.0,0.0,one_time,1.0
15,11660,1,0.0,0.0,one_time,1.0
15,12508,1,0.0,0.0,one_time,1.0
25,16625,1,0.0,0.0,one_time,1.0
25,47540,1,0.0,0.0,one_time,1.0
25,72623,1,0.0,0.0,one_time,1.0
72,4283,2,1.0,0.5,occasional,3.0
72,5004,2,1.0,0.7666666666666666,occasional,3.533333333333333
72,12222,2,0.0,0.0,occasional,2.0
72,16983,1,1.0,0.0,one_time,1.0
72,73254,2,0.0,0.0,occasional,2.0
99,577,1,0.0,0.0,one_time,1.0
99,1085,1,0.0,0.0,one_time,1.0
99,1316,1,0.0,0.0,one_time,1.0
99,4529,1,0.0,0.0,one_time,1.0
99,10786,1,0.0,0.0,one_time,1.0
99,16699,1,0.0,0.0,one_time,1.0
102,1372,2,0.0,0.0,occasional,2.0
102,1376,2,0.0,0.0,occasional,2.0
102,3246,1,0.0,0.0,one_time,1.0
102,4513,4,1.0,0.0,regular,4.0
102,5608,1,0.0,0.0,one_time,1.0
102,7578,1,0.0,0.0,one_time,1.0
102,7594,1,3.0,0.09999999999999999,one_time,1.1
102,10814,2,1.0,-1.0,occasional,0.0
102,10965,1,1.0,0.75,one_time,1.75
104,25597,3,3.0,0.24000000000000002,occasional,3.7199999999999998
105,884,1,0.0,0.0,one_time,1.0
105,1602,1,0.0,0.0,one_time,1.0
105,9558,1,0.0,0.0,one_time,1.0
105,11259,1,0.0,0.0,one_time,1.0
105,15139,2,0.0,0.0,occasional,2.0
105,44078,1,0.0,0.0,one_time,1.0
129,13394,1,0.0,0.0,one_time,1.0
131,10800,1,0.0,0.0,one_time,1.0
132,45393,6,0.0,0.0,regular,6.0
133,27720,2,0.0,0.0,occasional,2.0
133,31853,2,0.0,0.0,occasional,2.0
133,47339,4,0.0,0.0,regular,4.0
133,80350,2,0.0,0.0,occasional,2.0
134,404,2,0.0,0.0,occasional,2.0
134,23055,2,0.0,0.0,occasional,2.0
134,44818,2,0.0,0.0,occasional,2.0
170,47,1,0.0,0.0,one_time,1.0
170,395,1,1.0,0.5,one_time,1.5
170,470,1,0.0,0.0,one_time,1.0
170,514,4,0.0,0.0,regular,4.0
170,908,2,0.0,0.0,occasional,2.0
170,1086,1,1.0,1.0,one_time,2.0
170,2578,2,0.0,0.0,occasional,2.0
170,4403,2,0.0,0.0,occasional,2.0
170,5575,2,0.0,0.0,occasional,2.0
170,6506,1,0.0,0.0,one_time,1.0
170,6510,2,0.0,0.0,occasional,2.0
170,6850,1,0.0,0.0,one_time,1.0
170,7095,2,0.0,0.0,occasional,2.0
170,7792,1,0.0,0.0,one_time,1.0
170,7913,3,0.0,0.0,occasional,3.0
170,8223,2,0.0,0.0,occasional,2.0
170,8713,1,0.0,0.0,one_time,1.0
170,16079,1,0.0,0.0,one_time,1.0
170,21324,1,0.0,0.0,one_time,1.0
190,1119,2,0.0,0.0,occasional,2.0
190,1211,1,1.0,0.0,one_time,1.0
190,1407,1,0.0,0.0,one_time,1.0
190,6506,1,0.0,0.0,one_time,1.0
190,23209,1,0.0,0.0,one_time,1.0
191,115522,2,1.0,0.3,occasional,2.6
245,1155,1,0.0,0.0,one_time,1.0
245,12862,2,0.0,0.0,occasional,2.0
257,371,2,0.0,0.0,occasional,2.0
257,422,2,0.0,0.0,occasional,2.0
257,9854,2,0.0,0.0,occasional,2.0
287,36,1,0.0,0.0,one_time,1.0
287,3219,1,0.0,0.0,one_time,1.0
287,7206,2,1.0,0.225,occasional,2.45
287,16910,1,0.0,0.0,one_time,1.0
287,23374,2,0.0,0.0,occasional,2.0
287,37983,1,0.0,0.0,one_time,1.0
