Product_ID,Avg_Price,Price_Std,Purchase_Count,Category,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20
P00265242,-0.1102439830204348,-0.6302660385303096,7.855593840177718,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00025442,2.4466821022426037,0.5514854548954483,6.639892172017758,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00110742,2.2490727472835257,0.8406765557056567,6.626129511623494,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00112142,1.9688671561197224,1.1261891417149883,6.396751838385765,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00057642,2.024436014072892,1.0295617718656902,5.974696919628345,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00184942,2.3331185996340653,0.7249306699640726,5.837070315685708,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00046742,1.7618856071055176,1.2056682591128298,5.827895208756199,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00058042,0.171609280490211,-0.6958676409326504,5.754494353320125,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P00059442,2.440387492936857,1.2289678253930054,5.681093497884053,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00145042,1.711627299323179,1.0970367589658894,5.681093497884053,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00237542,2.3084215979954497,1.072657695736182,5.626042856306998,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00255842,2.672208663644215,0.7400943588846692,5.5755797681946975,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P00117942,-0.25593069209231023,-0.816740037700125,5.4884162523643605,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00110942,2.459092609325049,0.31880483835811435,5.470066038505342,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00010742,2.2075279604130125,0.9927281827560943,5.424190503857797,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00220442,-0.18518969034735294,-0.668669125962042,5.112236868254486,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00110842,2.280733190103767,0.8185172594471963,5.1076493147897315,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00117442,-0.2587577006902219,-0.6901379255604628,5.011310692029886,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00051442,0.2606135429869151,-0.8080381435908206,4.9608476039175855,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P00102642,-1.3480421048398867,-1.580405003768027,4.947084943523321,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P00278642,-0.1811547087784116,-0.6199021730799766,4.85533387422823,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
