iter	RMSE
0	4862.596356
1	4708.63089
2	4564.5467
3	4430.125537
4	4304.620266
5	4188.911756
6	4081.744412
7	3981.982624
8	3889.837863
9	3804.48551
10	3725.089441
11	3652.842754
12	3586.266609
13	3524.677647
14	3469.089552
15	3417.276154
16	3369.320276
17	3325.094768
18	3285.1272
19	3247.848527
20	3214.383276
21	3184.253136
22	3155.871329
23	3129.761244
24	3106.387612
25	3085.460209
26	3065.65834
27	3047.794867
28	3031.697697
29	3016.763502
30	3003.606461
31	2991.253168
32	2980.137256
33	2970.005141
34	2960.928909
35	2952.472188
36	2944.812632
37	2937.830312
38	2931.443635
39	2925.843288
40	2920.508228
41	2915.691661
42	2911.255862
43	2907.113109
44	2903.375096
45	2899.890606
46	2896.771149
47	2893.953658
48	2891.45887
49	2889.058038
50	2886.951845
51	2884.964389
52	2883.086936
53	2881.297465
54	2879.78924
55	2878.419647
56	2877.091491
57	2875.892713
58	2874.804026
59	2873.641089
60	2872.7073
61	2871.500122
62	2870.545811
63	2869.585115
64	2868.728944
65	2867.962975
66	2867.157724
67	2866.524019
68	2865.953048
69	2865.434321
70	2864.946036
71	2864.468872
72	2864.042204
73	2863.667969
74	2863.122192
75	2862.700861
76	2862.211312
77	2861.848471
78	2861.324093
79	2860.936496
80	2860.698042
81	2860.203327
82	2859.921909
83	2859.561852
84	2859.132391
85	2858.901415
86	2858.501165
87	2858.147303
88	2857.823032
89	2857.407364
90	2857.135738
91	2856.870518
92	2856.599461
93	2856.334231
94	2855.956418
95	2855.767931
96	2855.373846
97	2855.0239
98	2854.678502
99	2854.440161
100	2853.99298
101	2853.736969
102	2853.236448
103	2852.959066
104	2852.464729
105	2852.24155
106	2851.760724
107	2851.473742
108	2851.20852
109	2851.003254
110	2850.71364
111	2850.491295
112	2850.274952
113	2849.926868
114	2849.643914
115	2849.30944
116	2849.137447
117	2848.902139
118	2848.506408
119	2848.297169
120	2848.135465
121	2847.498698
122	2847.244709
123	2847.040212
124	2846.940365
125	2846.590059
126	2846.355416
127	2846.152101
128	2845.984213
129	2845.903927
130	2845.496742
131	2845.113907
132	2844.869705
133	2844.505397
134	2844.31069
135	2843.730905
136	2843.439615
137	2843.042482
138	2842.901002
139	2842.543134
140	2842.388438
141	2842.166975
142	2841.962497
143	2841.542887
144	2841.322416
145	2841.144246
146	2840.799118
147	2840.47748
148	2840.160729
149	2839.979084
150	2839.802768
151	2839.613114
152	2839.222003
153	2839.045311
154	2838.766515
155	2838.594182
156	2838.487394
157	2838.282661
158	2837.991464
159	2837.893029
160	2837.691678
161	2837.441271
162	2837.179441
163	2836.898173
164	2836.522539
165	2836.256939
166	2835.944818
167	2835.706671
168	2835.384058
169	2835.230328
170	2835.094602
171	2834.943939
172	2834.731324
173	2834.517068
174	2834.233047
175	2834.003007
176	2833.777439
177	2833.549782
178	2833.211571
179	2833.027382
180	2832.797201
181	2832.62401
182	2832.396803
183	2832.285511
184	2832.187785
185	2832.066074
186	2831.899589
187	2831.702449
188	2831.408946
189	2831.170193
190	2830.954787
191	2830.599724
192	2830.334171
193	2830.113822
194	2829.841835
195	2829.638618
196	2829.362178
197	2829.163024
198	2828.950046
199	2828.831692
200	2828.619563
201	2828.520691
202	2828.342008
203	2828.144867
204	2827.921477
205	2827.757964
206	2827.505164
207	2827.230165
208	2826.911213
209	2826.667979
210	2826.397236
211	2826.232289
212	2826.111104
213	2826.00662
214	2825.853873
215	2825.540151
216	2825.403477
217	2825.266673
218	2824.996965
219	2824.811988
220	2824.506863
221	2824.280501
222	2824.106567
223	2824.024953
224	2823.895066
225	2823.763886
226	2823.574456
227	2823.275925
228	2823.020076
229	2822.834077
230	2822.461428
231	2822.306052
232	2822.039733
233	2821.944112
234	2821.727812
235	2821.650797
236	2821.408749
237	2821.318097
238	2821.181702
239	2821.073923
240	2820.858189
241	2820.715434
242	2820.555138
243	2820.412073
244	2820.230165
245	2820.079941
246	2819.867052
247	2819.683615
248	2819.373361
249	2819.193175
250	2819.042387
251	2818.889933
252	2818.758896
253	2818.578541
254	2818.422019
255	2818.244899
256	2818.072769
257	2817.999724
258	2817.798885
259	2817.572253
260	2817.270831
261	2817.019669
262	2816.945972
263	2816.741481
264	2816.507765
265	2816.275491
266	2816.208431
267	2815.961565
268	2815.793303
269	2815.637204
270	2815.427142
271	2815.268463
272	2815.158043
273	2814.911054
274	2814.700105
275	2814.496483
276	2814.334567
277	2814.213274
278	2813.994693
279	2813.775779
280	2813.726133
281	2813.600626
282	2813.515825
283	2813.250592
284	2813.079591
285	2812.890606
286	2812.831683
287	2812.627333
288	2812.386832
289	2812.151798
290	2812.023034
291	2811.766242
292	2811.464347
293	2811.299665
294	2811.081256
295	2810.760369
296	2810.474345
297	2810.365246
298	2810.145941
299	2809.924393
300	2809.758199
301	2809.633893
302	2809.410196
303	2809.229675
304	2809.041835
305	2808.84272
306	2808.757543
307	2808.516425
308	2808.355257
309	2808.125004
310	2807.903885
311	2807.703116
312	2807.479018
313	2807.280176
314	2807.10837
315	2806.945021
316	2806.72467
317	2806.59262
318	2806.395144
319	2806.207502
320	2805.994826
321	2805.817076
322	2805.502098
323	2805.267428
324	2805.019283
325	2804.941001
326	2804.747025
327	2804.582152
328	2804.45507
329	2804.254264
330	2803.903467
331	2803.748474
332	2803.565584
333	2803.211649
334	2803.028696
335	2802.934906
336	2802.738353
337	2802.594906
338	2802.437637
339	2802.238757
340	2802.001582
341	2801.866437
342	2801.713026
343	2801.551962
344	2801.332302
345	2801.143611
346	2800.992821
347	2800.844913
348	2800.768513
349	2800.591581
350	2800.433791
351	2800.306455
352	2800.159212
353	2799.98363
354	2799.814998
355	2799.597143
356	2799.468542
357	2799.310604
358	2799.159748
359	2798.824384
360	2798.681313
361	2798.496062
362	2798.362892
363	2798.261111
364	2798.1142
365	2797.95866
366	2797.872715
367	2797.722929
368	2797.520677
369	2797.303191
370	2797.131323
371	2797.073339
372	2796.971704
373	2796.904019
374	2796.783282
375	2796.706327
376	2796.661885
377	2796.481782
378	2796.328952
379	2796.261096
380	2796.113403
381	2795.870593
382	2795.703002
383	2795.584768
384	2795.518994
385	2795.328167
386	2795.126468
387	2794.972139
388	2794.799416
389	2794.526905
390	2794.269599
391	2794.105623
392	2794.012156
393	2793.796862
394	2793.626407
395	2793.49308
396	2793.240303
397	2793.013225
398	2792.910361
399	2792.721448
400	2792.484015
401	2792.33519
402	2792.219665
403	2792.009359
404	2791.856123
405	2791.723266
406	2791.658578
407	2791.521194
408	2791.40004
409	2791.245008
410	2791.093009
411	2790.922772
412	2790.683855
