iter	Passed	Remaining
0	15	7858
1	44	11047
2	72	12057
3	101	12642
4	132	13114
5	162	13364
6	192	13536
7	222	13698
8	254	13865
9	287	14108
10	319	14207
11	338	13780
12	370	13864
13	401	13940
14	420	13585
15	450	13639
16	481	13681
17	512	13728
18	542	13742
19	574	13795
20	605	13804
21	624	13565
22	658	13651
23	690	13691
24	722	13729
25	753	13735
26	785	13765
27	818	13800
28	851	13828
29	880	13792
30	909	13766
31	941	13773
32	972	13767
33	1004	13768
34	1037	13780
35	1071	13808
36	1102	13802
37	1143	13896
38	1186	14023
39	1224	14077
40	1258	14085
41	1289	14066
42	1323	14067
43	1355	14046
44	1387	14028
45	1419	14005
46	1450	13980
47	1482	13962
48	1516	13953
49	1548	13936
50	1582	13931
51	1614	13913
52	1649	13909
53	1684	13915
54	1717	13892
55	1749	13873
56	1782	13852
57	1814	13825
58	1848	13818
59	1881	13797
60	1911	13755
61	1945	13741
62	1977	13716
63	2007	13672
64	2038	13642
65	2070	13614
66	2103	13591
67	2135	13565
68	2167	13537
69	2198	13504
70	2228	13466
71	2259	13428
72	2291	13405
73	2324	13382
74	2360	13377
75	2392	13345
76	2424	13320
77	2456	13290
78	2491	13279
79	2524	13252
80	2554	13216
81	2584	13174
82	2614	13134
83	2645	13100
84	2679	13080
85	2712	13059
86	2744	13026
87	2778	13006
88	2810	12979
89	2841	12944
90	2872	12912
91	2903	12876
92	2935	12847
93	2969	12827
94	3002	12799
95	3039	12792
96	3074	12771
97	3106	12743
98	3141	12725
99	3174	12698
100	3207	12670
101	3242	12651
102	3275	12624
103	3307	12593
104	3341	12569
105	3375	12546
106	3410	12524
107	3441	12492
108	3474	12464
109	3507	12434
110	3539	12404
111	3572	12374
112	3603	12342
113	3636	12311
114	3668	12279
115	3701	12252
116	3735	12226
117	3770	12205
118	3803	12177
119	3836	12149
120	3869	12120
121	3902	12091
122	3938	12072
123	3970	12040
124	4003	12009
125	4037	11982
126	4068	11948
127	4097	11908
128	4130	11879
129	4163	11849
130	4195	11818
131	4226	11783
132	4257	11746
133	4288	11713
134	4320	11681
135	4352	11650
136	4386	11621
137	4419	11593
138	4450	11557
139	4483	11528
140	4514	11493
141	4545	11458
142	4578	11430
143	4613	11406
144	4647	11378
145	4679	11345
146	4712	11316
147	4742	11280
148	4776	11252
149	4807	11217
150	4839	11184
151	4874	11159
152	4907	11129
153	4939	11098
154	4970	11064
155	5003	11032
156	5039	11009
157	5070	10975
158	5102	10942
159	5135	10913
160	5167	10881
161	5197	10844
162	5228	10810
163	5262	10780
164	5292	10744
165	5326	10716
166	5357	10682
167	5387	10646
168	5421	10617
169	5453	10585
170	5487	10557
171	5521	10529
172	5554	10499
173	5587	10469
174	5619	10435
175	5652	10406
176	5685	10375
177	5719	10345
178	5751	10313
179	5785	10285
180	5818	10255
181	5852	10226
182	5887	10197
183	5917	10162
184	5949	10130
185	5979	10095
186	6010	10061
187	6040	10025
188	6072	9992
189	6105	9961
190	6136	9928
191	6169	9897
192	6202	9866
193	6234	9833
194	6267	9803
195	6298	9769
196	6329	9735
197	6360	9701
198	6393	9670
199	6426	9640
200	6461	9611
201	6494	9580
202	6527	9550
203	6561	9520
204	6596	9492
205	6631	9464
206	6663	9432
207	6697	9401
208	6730	9371
209	6765	9342
210	6798	9311
211	6833	9283
212	6866	9251
213	6899	9220
214	6933	9190
215	6964	9156
216	6997	9125
217	7030	9094
218	7063	9063
219	7095	9031
220	7127	8997
221	7157	8963
222	7189	8930
223	7220	8896
224	7252	8864
225	7287	8835
226	7321	8805
227	7358	8778
228	7395	8752
229	7433	8726
230	7470	8698
231	7501	8665
232	7531	8630
233	7562	8597
234	7595	8565
235	7628	8533
236	7663	8504
237	7694	8470
238	7729	8440
239	7763	8410
240	7795	8377
241	7828	8346
242	7861	8314
243	7891	8279
244	7921	8244
245	7954	8213
246	7987	8181
247	8021	8151
248	8055	8120
249	8088	8088
250	8121	8056
251	8156	8026
252	8189	7995
253	8221	7962
254	8254	7930
255	8287	7899
256	8320	7866
257	8350	7832
258	8384	7801
259	8415	7767
260	8447	7735
261	8478	7701
262	8511	7669
263	8543	7636
264	8576	7605
265	8607	7572
266	8639	7539
267	8673	7508
268	8705	7475
269	8748	7452
270	8789	7427
271	8821	7394
272	8852	7360
273	8882	7326
274	8913	7292
275	8946	7260
276	8977	7227
277	9010	7195
278	9042	7162
279	9073	7129
280	9107	7098
281	9142	7067
282	9175	7035
283	9207	7002
284	9237	6968
285	9271	6937
286	9302	6903
287	9334	6871
288	9368	6839
289	9401	6807
290	9435	6776
291	9467	6744
292	9500	6712
293	9531	6678
294	9566	6647
295	9597	6614
296	9628	6581
297	9659	6547
298	9690	6514
299	9720	6480
300	9752	6447
301	9787	6416
302	9821	6385
303	9856	6354
304	9889	6322
305	9921	6290
306	9953	6257
307	9986	6225
308	10016	6191
309	10049	6159
310	10081	6126
311	10113	6093
312	10144	6061
313	10175	6027
314	10207	5994
315	10239	5962
316	10273	5930
317	10305	5898
318	10336	5864
319	10366	5831
320	10401	5800
321	10433	5767
322	10465	5735
323	10498	5702
324	10530	5670
325	10561	5637
326	10591	5603
327	10623	5570
328	10654	5537
329	10686	5505
330	10719	5473
331	10752	5441
332	10783	5407
333	10814	5374
334	10843	5341
335	10874	5307
336	10905	5275
337	10938	5242
338	10972	5210
339	11003	5178
340	11037	5146
341	11071	5114
342	11103	5082
343	11134	5049
344	11165	5016
345	11198	4984
346	11232	4952
347	11262	4919
348	11293	4886
349	11325	4853
350	11355	4820
351	11390	4789
352	11425	4757
353	11458	4725
354	11490	4693
355	11523	4661
356	11555	4628
357	11587	4596
358	11619	4563
359	11653	4531
360	11683	4498
361	11718	4467
362	11753	4435
363	11787	4404
364	11819	4371
365	11853	4339
366	11885	4307
367	11917	4274
368	11951	4243
369	11987	4211
370	12022	4180
371	12053	4147
372	12086	4115
373	12118	4082
374	12149	4049
375	12182	4017
376	12216	3985
377	12249	3953
378	12284	3921
379	12318	3889
380	12351	3857
381	12385	3825
382	12419	3793
383	12455	3762
384	12490	3730
385	12526	3699
386	12561	3667
387	12597	3636
388	12630	3604
389	12664	3571
390	12696	3539
391	12727	3506
392	12761	3474
393	12795	3442
394	12828	3410
395	12862	3378
396	12897	3346
397	12931	3314
398	12962	3281
399	12995	3248
400	13028	3216
401	13061	3184
402	13093	3151
403	13129	3119
404	13162	3087
405	13197	3055
406	13229	3022
407	13263	2990
408	13295	2958
409	13329	2925
410	13361	2893
411	13395	2861
412	13427	2828
413	13462	2796
414	13495	2764
415	13530	2732
416	13567	2700
417	13600	2668
418	13633	2635
419	13666	2603
420	13701	2571
421	13741	2539
422	13778	2508
423	13815	2476
424	13846	2443
425	13880	2411
426	13915	2379
427	13948	2346
428	13981	2314
429	14014	2281
430	14047	2248
431	14082	2216
432	14116	2184
433	14149	2151
434	14184	2119
435	14214	2086
436	14245	2053
437	14276	2020
438	14310	1988
439	14344	1956
440	14378	1923
441	14409	1890
442	14445	1858
443	14479	1826
444	14510	1793
445	14543	1760
446	14577	1728
447	14610	1695
448	14639	1662
449	14672	1630
450	14706	1597
451	14739	1565
452	14771	1532
453	14805	1500
454	14839	1467
455	14870	1434
456	14903	1402
457	14936	1369
458	14972	1337
459	15006	1304
460	15040	1272
461	15073	1239
462	15107	1207
463	15140	1174
464	15171	1141
465	15204	1109
466	15239	1076
467	15274	1044
468	15307	1011
469	15340	979
470	15376	946
471	15410	914
472	15443	881
473	15475	848
474	15507	816
475	15539	783
476	15572	750
477	15605	718
478	15636	685
479	15669	652
480	15701	620
481	15738	587
482	15770	555
483	15803	522
484	15835	489
485	15874	457
486	15912	424
487	15950	392
488	15980	359
489	16009	326
490	16040	294
491	16072	261
492	16106	228
493	16140	196
494	16170	163
495	16201	130
496	16234	97
497	16268	65
498	16302	32
499	16334	0
